img_name,x,y
frame_0000000347.jpg,1103,710
frame_0000000348.jpg,1150,696
frame_0000000349.jpg,1191,685
frame_0000000350.jpg,1229,675
frame_0000000351.jpg,1271,661
frame_0000000352.jpg,1297,655
frame_0000000353.jpg,1325,645
frame_0000000360.jpg,1480,596
frame_0000000366.jpg,1572,567
frame_0000000367.jpg,1580,562
frame_0000000368.jpg,1598,557
frame_0000000369.jpg,1608,553
frame_0000000370.jpg,1614,550
frame_0000000371.jpg,1622,550
frame_0000000383.jpg,1714,521
frame_0000000384.jpg,1718,519
frame_0000000385.jpg,1728,516
frame_0000000386.jpg,1732,513
frame_0000000387.jpg,1738,513
frame_0000000388.jpg,1743,511
frame_0000000389.jpg,1747,509
frame_0000000398.jpg,1784,499
frame_0000000409.jpg,1809,494
frame_0000000410.jpg,1814,493
frame_0000000411.jpg,1817,493
frame_0000000412.jpg,1816,493
frame_0000000413.jpg,1816,492
frame_0000000414.jpg,1821,493
frame_0000000415.jpg,1821,491
frame_0000000416.jpg,1823,491
frame_0000000417.jpg,1823,491
frame_0000000418.jpg,1827,491
frame_0000000419.jpg,1829,489
frame_0000000420.jpg,1829,489
frame_0000000421.jpg,1832,489
frame_0000000422.jpg,1829,491
frame_0000000423.jpg,1829,489
frame_0000000424.jpg,1829,491
frame_0000000425.jpg,1833,488
frame_0000000426.jpg,1834,489
frame_0000000427.jpg,1836,487
frame_0000000428.jpg,1836,489
frame_0000000429.jpg,1839,489
frame_0000000430.jpg,1837,489
frame_0000000431.jpg,1839,487
frame_0000000432.jpg,1842,488
frame_0000000433.jpg,1842,488
frame_0000000434.jpg,1842,487
frame_0000000435.jpg,1842,487
frame_0000000436.jpg,1846,486
frame_0000000437.jpg,1847,486
frame_0000000438.jpg,1847,488
frame_0000000439.jpg,1849,484
frame_0000000440.jpg,1846,487
frame_0000000441.jpg,1847,487
frame_0000000442.jpg,1851,487
frame_0000000443.jpg,1851,487
frame_0000000444.jpg,1851,488
frame_0000000445.jpg,1849,487
frame_0000000446.jpg,1849,488
frame_0000000447.jpg,1849,488
frame_0000000448.jpg,1848,487
frame_0000000449.jpg,1851,487
frame_0000000450.jpg,1851,486
frame_0000000451.jpg,1852,487
frame_0000000452.jpg,1853,483
frame_0000000460.jpg,1853,488
frame_0000000461.jpg,1853,488
frame_0000000462.jpg,1856,484
frame_0000000463.jpg,1857,488
frame_0000000464.jpg,1858,488
frame_0000000465.jpg,1853,487
frame_0000000466.jpg,1856,484
frame_0000000467.jpg,1856,488
frame_0000000468.jpg,1856,487
frame_0000000469.jpg,1856,489
frame_0000000470.jpg,1854,491
frame_0000000471.jpg,1856,491
frame_0000000472.jpg,1854,491
frame_0000000473.jpg,1857,489
frame_0000000474.jpg,1856,492
frame_0000000475.jpg,1856,489
frame_0000000509.jpg,1838,503
frame_0000000524.jpg,1823,515
frame_0000000541.jpg,1804,528
frame_0000000560.jpg,1778,542
frame_0000000704.jpg,1433,774
frame_0000000736.jpg,1326,855
