img_name,x,y
frame_0000000347.jpg,1103,710
frame_0000000348.jpg,1150,696
frame_0000000349.jpg,1191,685
frame_0000000350.jpg,1229,675
frame_0000000351.jpg,1271,661
frame_0000000352.jpg,1297,655
frame_0000000353.jpg,1325,645
frame_0000000354.jpg,1347,638
frame_0000000355.jpg,1369,631
frame_0000000356.jpg,1391,624
frame_0000000357.jpg,1413,617
frame_0000000358.jpg,1435,610
frame_0000000359.jpg,1457,603
frame_0000000360.jpg,1480,596
frame_0000000361.jpg,1495,592
frame_0000000362.jpg,1510,587
frame_0000000363.jpg,1526,582
frame_0000000364.jpg,1541,577
frame_0000000365.jpg,1556,572
frame_0000000366.jpg,1572,567
frame_0000000367.jpg,1580,562
frame_0000000368.jpg,1598,557
frame_0000000369.jpg,1608,553
frame_0000000370.jpg,1614,550
frame_0000000371.jpg,1622,550
frame_0000000372.jpg,1629,548
frame_0000000373.jpg,1637,546
frame_0000000374.jpg,1645,543
frame_0000000375.jpg,1652,541
frame_0000000376.jpg,1660,538
frame_0000000377.jpg,1668,536
frame_0000000378.jpg,1675,534
frame_0000000379.jpg,1683,531
frame_0000000380.jpg,1691,529
frame_0000000381.jpg,1698,526
frame_0000000382.jpg,1706,524
frame_0000000383.jpg,1714,521
frame_0000000384.jpg,1718,519
frame_0000000385.jpg,1728,516
frame_0000000386.jpg,1732,513
frame_0000000387.jpg,1738,513
frame_0000000388.jpg,1743,511
frame_0000000389.jpg,1747,509
frame_0000000390.jpg,1751,508
frame_0000000391.jpg,1755,507
frame_0000000392.jpg,1759,506
frame_0000000393.jpg,1763,505
frame_0000000394.jpg,1767,504
frame_0000000395.jpg,1771,503
frame_0000000396.jpg,1775,502
frame_0000000397.jpg,1779,501
frame_0000000398.jpg,1784,499
frame_0000000399.jpg,1786,499
frame_0000000400.jpg,1788,499
frame_0000000401.jpg,1790,498
frame_0000000402.jpg,1793,498
frame_0000000403.jpg,1795,497
frame_0000000404.jpg,1797,497
frame_0000000405.jpg,1799,496
frame_0000000406.jpg,1802,496
frame_0000000407.jpg,1804,495
frame_0000000408.jpg,1806,495
frame_0000000409.jpg,1809,494
frame_0000000410.jpg,1814,493
frame_0000000411.jpg,1817,493
frame_0000000412.jpg,1816,493
frame_0000000413.jpg,1816,492
frame_0000000414.jpg,1821,493
frame_0000000415.jpg,1821,491
frame_0000000416.jpg,1823,491
frame_0000000417.jpg,1823,491
frame_0000000418.jpg,1827,491
frame_0000000419.jpg,1829,489
frame_0000000420.jpg,1829,489
frame_0000000421.jpg,1832,489
frame_0000000422.jpg,1829,491
frame_0000000423.jpg,1829,489
frame_0000000424.jpg,1829,491
frame_0000000425.jpg,1833,488
frame_0000000426.jpg,1834,489
frame_0000000427.jpg,1836,487
frame_0000000428.jpg,1836,489
frame_0000000429.jpg,1839,489
frame_0000000430.jpg,1837,489
frame_0000000431.jpg,1839,487
frame_0000000432.jpg,1842,488
frame_0000000433.jpg,1842,488
frame_0000000434.jpg,1842,487
frame_0000000435.jpg,1842,487
frame_0000000436.jpg,1846,486
frame_0000000437.jpg,1847,486
frame_0000000438.jpg,1847,488
frame_0000000439.jpg,1849,484
frame_0000000440.jpg,1846,487
frame_0000000441.jpg,1847,487
frame_0000000442.jpg,1851,487
frame_0000000443.jpg,1851,487
frame_0000000444.jpg,1851,488
frame_0000000445.jpg,1849,487
frame_0000000446.jpg,1849,488
frame_0000000447.jpg,1849,488
frame_0000000448.jpg,1848,487
frame_0000000449.jpg,1851,487
frame_0000000450.jpg,1851,486
frame_0000000451.jpg,1852,487
frame_0000000452.jpg,1853,483
frame_0000000453.jpg,1853,483
frame_0000000454.jpg,1853,484
frame_0000000455.jpg,1853,484
frame_0000000456.jpg,1853,485
frame_0000000457.jpg,1853,486
frame_0000000458.jpg,1853,486
frame_0000000459.jpg,1853,487
frame_0000000460.jpg,1853,488
frame_0000000461.jpg,1853,488
frame_0000000462.jpg,1856,484
frame_0000000463.jpg,1857,488
frame_0000000464.jpg,1858,488
frame_0000000465.jpg,1853,487
frame_0000000466.jpg,1856,484
frame_0000000467.jpg,1856,488
frame_0000000468.jpg,1856,487
frame_0000000469.jpg,1856,489
frame_0000000470.jpg,1854,491
frame_0000000471.jpg,1856,491
frame_0000000472.jpg,1854,491
frame_0000000473.jpg,1857,489
frame_0000000474.jpg,1856,492
frame_0000000475.jpg,1856,489
frame_0000000476.jpg,1856,489
frame_0000000477.jpg,1855,489
frame_0000000478.jpg,1855,490
frame_0000000479.jpg,1854,490
frame_0000000480.jpg,1854,491
frame_0000000481.jpg,1853,491
frame_0000000482.jpg,1853,491
frame_0000000483.jpg,1852,492
frame_0000000484.jpg,1852,492
frame_0000000485.jpg,1851,493
frame_0000000486.jpg,1851,493
frame_0000000487.jpg,1850,493
frame_0000000488.jpg,1850,494
frame_0000000489.jpg,1849,494
frame_0000000490.jpg,1849,495
frame_0000000491.jpg,1848,495
frame_0000000492.jpg,1847,496
frame_0000000493.jpg,1847,496
frame_0000000494.jpg,1846,496
frame_0000000495.jpg,1846,497
frame_0000000496.jpg,1845,497
frame_0000000497.jpg,1845,498
frame_0000000498.jpg,1844,498
frame_0000000499.jpg,1844,498
frame_0000000500.jpg,1843,499
frame_0000000501.jpg,1843,499
frame_0000000502.jpg,1842,500
frame_0000000503.jpg,1842,500
frame_0000000504.jpg,1841,500
frame_0000000505.jpg,1841,501
frame_0000000506.jpg,1840,501
frame_0000000507.jpg,1840,502
frame_0000000508.jpg,1839,502
frame_0000000509.jpg,1838,503
frame_0000000510.jpg,1837,503
frame_0000000511.jpg,1836,504
frame_0000000512.jpg,1835,505
frame_0000000513.jpg,1834,506
frame_0000000514.jpg,1833,507
frame_0000000515.jpg,1832,507
frame_0000000516.jpg,1831,508
frame_0000000517.jpg,1830,509
frame_0000000518.jpg,1829,510
frame_0000000519.jpg,1828,511
frame_0000000520.jpg,1827,511
frame_0000000521.jpg,1826,512
frame_0000000522.jpg,1825,513
frame_0000000523.jpg,1824,514
frame_0000000524.jpg,1823,515
frame_0000000525.jpg,1822,515
frame_0000000526.jpg,1821,516
frame_0000000527.jpg,1820,517
frame_0000000528.jpg,1819,518
frame_0000000529.jpg,1818,518
frame_0000000530.jpg,1817,519
frame_0000000531.jpg,1816,520
frame_0000000532.jpg,1815,521
frame_0000000533.jpg,1813,521
frame_0000000534.jpg,1812,522
frame_0000000535.jpg,1811,523
frame_0000000536.jpg,1810,524
frame_0000000537.jpg,1809,524
frame_0000000538.jpg,1808,525
frame_0000000539.jpg,1807,526
frame_0000000540.jpg,1806,527
frame_0000000541.jpg,1804,528
frame_0000000542.jpg,1803,528
frame_0000000543.jpg,1802,529
frame_0000000544.jpg,1800,530
frame_0000000545.jpg,1799,530
frame_0000000546.jpg,1798,531
frame_0000000547.jpg,1796,532
frame_0000000548.jpg,1795,533
frame_0000000549.jpg,1794,533
frame_0000000550.jpg,1792,534
frame_0000000551.jpg,1791,535
frame_0000000552.jpg,1789,536
frame_0000000553.jpg,1788,536
frame_0000000554.jpg,1787,537
frame_0000000555.jpg,1785,538
frame_0000000556.jpg,1784,539
frame_0000000557.jpg,1783,539
frame_0000000558.jpg,1781,540
frame_0000000559.jpg,1780,541
frame_0000000560.jpg,1778,542
frame_0000000561.jpg,1776,543
frame_0000000562.jpg,1774,545
frame_0000000563.jpg,1771,546
frame_0000000564.jpg,1769,548
frame_0000000565.jpg,1767,550
frame_0000000566.jpg,1764,551
frame_0000000567.jpg,1762,553
frame_0000000568.jpg,1759,554
frame_0000000569.jpg,1757,556
frame_0000000570.jpg,1755,558
frame_0000000571.jpg,1752,559
frame_0000000572.jpg,1750,561
frame_0000000573.jpg,1747,562
frame_0000000574.jpg,1745,564
frame_0000000575.jpg,1743,566
frame_0000000576.jpg,1740,567
frame_0000000577.jpg,1738,569
frame_0000000578.jpg,1735,571
frame_0000000579.jpg,1733,572
frame_0000000580.jpg,1731,574
frame_0000000581.jpg,1728,575
frame_0000000582.jpg,1726,577
frame_0000000583.jpg,1723,579
frame_0000000584.jpg,1721,580
frame_0000000585.jpg,1719,582
frame_0000000586.jpg,1716,583
frame_0000000587.jpg,1714,585
frame_0000000588.jpg,1711,587
frame_0000000589.jpg,1709,588
frame_0000000590.jpg,1707,590
frame_0000000591.jpg,1704,591
frame_0000000592.jpg,1702,593
frame_0000000593.jpg,1699,595
frame_0000000594.jpg,1697,596
frame_0000000595.jpg,1695,598
frame_0000000596.jpg,1692,600
frame_0000000597.jpg,1690,601
frame_0000000598.jpg,1687,603
frame_0000000599.jpg,1685,604
frame_0000000600.jpg,1683,606
frame_0000000601.jpg,1680,608
frame_0000000602.jpg,1678,609
frame_0000000603.jpg,1675,611
frame_0000000604.jpg,1673,612
frame_0000000605.jpg,1671,614
frame_0000000606.jpg,1668,616
frame_0000000607.jpg,1666,617
frame_0000000608.jpg,1663,619
frame_0000000609.jpg,1661,620
frame_0000000610.jpg,1659,622
frame_0000000611.jpg,1656,624
frame_0000000612.jpg,1654,625
frame_0000000613.jpg,1652,627
frame_0000000614.jpg,1649,629
frame_0000000615.jpg,1647,630
frame_0000000616.jpg,1644,632
frame_0000000617.jpg,1642,633
frame_0000000618.jpg,1640,635
frame_0000000619.jpg,1637,637
frame_0000000620.jpg,1635,638
frame_0000000621.jpg,1632,640
frame_0000000622.jpg,1630,641
frame_0000000623.jpg,1628,643
frame_0000000624.jpg,1625,645
frame_0000000625.jpg,1623,646
frame_0000000626.jpg,1620,648
frame_0000000627.jpg,1618,649
frame_0000000628.jpg,1616,651
frame_0000000629.jpg,1613,653
frame_0000000630.jpg,1611,654
frame_0000000631.jpg,1608,656
frame_0000000632.jpg,1606,658
frame_0000000633.jpg,1604,659
frame_0000000634.jpg,1601,661
frame_0000000635.jpg,1599,662
frame_0000000636.jpg,1596,664
frame_0000000637.jpg,1594,666
frame_0000000638.jpg,1592,667
frame_0000000639.jpg,1589,669
frame_0000000640.jpg,1587,670
frame_0000000641.jpg,1584,672
frame_0000000642.jpg,1582,674
frame_0000000643.jpg,1580,675
frame_0000000644.jpg,1577,677
frame_0000000645.jpg,1575,678
frame_0000000646.jpg,1572,680
frame_0000000647.jpg,1570,682
frame_0000000648.jpg,1568,683
frame_0000000649.jpg,1565,685
frame_0000000650.jpg,1563,687
frame_0000000651.jpg,1560,688
frame_0000000652.jpg,1558,690
frame_0000000653.jpg,1556,691
frame_0000000654.jpg,1553,693
frame_0000000655.jpg,1551,695
frame_0000000656.jpg,1548,696
frame_0000000657.jpg,1546,698
frame_0000000658.jpg,1544,699
frame_0000000659.jpg,1541,701
frame_0000000660.jpg,1539,703
frame_0000000661.jpg,1537,704
frame_0000000662.jpg,1534,706
frame_0000000663.jpg,1532,707
frame_0000000664.jpg,1529,709
frame_0000000665.jpg,1527,711
frame_0000000666.jpg,1525,712
frame_0000000667.jpg,1522,714
frame_0000000668.jpg,1520,716
frame_0000000669.jpg,1517,717
frame_0000000670.jpg,1515,719
frame_0000000671.jpg,1513,720
frame_0000000672.jpg,1510,722
frame_0000000673.jpg,1508,724
frame_0000000674.jpg,1505,725
frame_0000000675.jpg,1503,727
frame_0000000676.jpg,1501,728
frame_0000000677.jpg,1498,730
frame_0000000678.jpg,1496,732
frame_0000000679.jpg,1493,733
frame_0000000680.jpg,1491,735
frame_0000000681.jpg,1489,736
frame_0000000682.jpg,1486,738
frame_0000000683.jpg,1484,740
frame_0000000684.jpg,1481,741
frame_0000000685.jpg,1479,743
frame_0000000686.jpg,1477,745
frame_0000000687.jpg,1474,746
frame_0000000688.jpg,1472,748
frame_0000000689.jpg,1469,749
frame_0000000690.jpg,1467,751
frame_0000000691.jpg,1465,753
frame_0000000692.jpg,1462,754
frame_0000000693.jpg,1460,756
frame_0000000694.jpg,1457,757
frame_0000000695.jpg,1455,759
frame_0000000696.jpg,1453,761
frame_0000000697.jpg,1450,762
frame_0000000698.jpg,1448,764
frame_0000000699.jpg,1445,765
frame_0000000700.jpg,1443,767
frame_0000000701.jpg,1441,769
frame_0000000702.jpg,1438,770
frame_0000000703.jpg,1436,772
frame_0000000704.jpg,1433,774
frame_0000000705.jpg,1430,776
frame_0000000706.jpg,1427,779
frame_0000000707.jpg,1423,781
frame_0000000708.jpg,1420,784
frame_0000000709.jpg,1417,786
frame_0000000710.jpg,1413,789
frame_0000000711.jpg,1410,791
frame_0000000712.jpg,1407,794
frame_0000000713.jpg,1403,796
frame_0000000714.jpg,1400,799
frame_0000000715.jpg,1397,801
frame_0000000716.jpg,1393,804
frame_0000000717.jpg,1390,806
frame_0000000718.jpg,1387,809
frame_0000000719.jpg,1383,811
frame_0000000720.jpg,1380,814
frame_0000000721.jpg,1377,817
frame_0000000722.jpg,1373,819
frame_0000000723.jpg,1370,822
frame_0000000724.jpg,1367,824
frame_0000000725.jpg,1363,827
frame_0000000726.jpg,1360,829
frame_0000000727.jpg,1357,832
frame_0000000728.jpg,1353,834
frame_0000000729.jpg,1350,837
frame_0000000730.jpg,1347,839
frame_0000000731.jpg,1343,842
frame_0000000732.jpg,1340,844
frame_0000000733.jpg,1337,847
frame_0000000734.jpg,1333,849
frame_0000000735.jpg,1330,852
frame_0000000736.jpg,1326,855
